phi,theta,Rx,Ry,Rz,ux,uy,uz,vx,vy,vz,alpha,utx,uty,utz,vtx,vty,vtz
0,0,0,0,0,-0.277856,0.379786,0.88236,-0.841114,0.34751,-0.414443,-0.928391,-0.537998,-0.458882,0.707097,-0.841114,0.34751,-0.414443
0.0274512,0.205038,-0.277856,0.379786,0.88236,-0.520124,-0.280899,0.806577,-0.842322,0.324935,-0.430013,0.928391,-0.19849,0.554746,0.807997,-0.842322,0.324935,-0.430013
-0.698072,0.0431925,-0.797981,0.0988862,1.68894,-0.158352,0.570547,0.805854,-0.323214,0.741233,-0.588308,-0.928391,-0.841872,0.0586972,0.536476,-0.323214,0.741233,-0.588308
-0.151993,-0.523504,-0.956333,0.669434,2.49479,-0.967153,-0.223488,0.121108,-0.254051,0.833931,-0.489916,0.928391,-0.586245,0.270108,0.763779,-0.254051,0.833931,-0.489916
0.393038,0.0145197,-1.92349,0.445946,2.6159,-0.577278,0.281171,0.766611,-0.529307,0.586026,-0.61352,-0.928391,-0.843676,-0.439999,0.30759,-0.529307,0.586026,-0.61352
-0.124671,0.273445,-2.50076,0.727117,3.38251,-0.81859,-0.261009,0.51165,-0.536352,0.666087,-0.518318,0.928391,-0.325886,0.403054,0.855187,-0.536352,0.666087,-0.518318
0.0712473,-0.498678,-3.31935,0.466108,3.89416,-0.639342,0.0318959,0.768261,-0.590413,0.619721,-0.517067,0.928391,0.0113592,0.646964,0.762436,-0.590413,0.619721,-0.517067
0.114189,0.365589,-3.9587,0.498004,4.66242,0.273189,0.787247,0.55282,-0.678521,0.565064,-0.469375,-0.928391,-0.382288,0.273998,0.882486,-0.678521,0.565064,-0.469375
0.0667057,-0.0108254,-3.68551,1.28525,5.21524,-0.388551,0.265168,0.882448,-0.718823,0.511933,-0.470337,0.928391,0.228767,0.813064,0.535343,-0.718823,0.511933,-0.470337
0.471169,-0.122894,-4.07406,1.55042,6.09769,0.195335,0.748166,0.634107,-0.938491,0.330315,-0.100629,-0.928391,-0.110951,-0.0124929,0.993747,-0.938491,0.330315,-0.100629
-0.178119,-0.0661677,-3.87872,2.29858,6.7318,-0.142981,-0.0700114,0.987246,-0.865707,0.492307,-0.0904664,0.928391,0.298408,0.652706,0.696368,-0.865707,0.492307,-0.0904664
0.329277,-0.00166554,-4.0217,2.22857,7.71904,0.29824,0.651532,0.697538,-0.949148,0.279651,0.144613,-0.928391,0.0979386,-0.174272,0.979815,-0.949148,0.279651,0.144613
-0.171589,0.150079,-3.72346,2.88011,8.41658,0.165148,-0.0403602,0.985443,-0.88412,0.436757,0.166056,0.928391,0.448912,0.695349,0.56122,-0.88412,0.436757,0.166056
0.342107,-0.0542661,-3.55831,2.83975,9.40202,0.457714,0.657216,0.598803,-0.87638,0.219982,0.428447,-0.928391,0.39421,-0.183429,0.900529,-0.87638,0.219982,0.428447
0.456495,-0.632946,-3.1006,3.49696,10.0008,0.399451,-0.713963,0.575062,-0.908607,-0.22488,0.351941,0.928391,0.336962,0.103155,0.93585,-0.908607,-0.22488,0.351941
-0.0089794,-0.4981,-2.70115,2.783,10.5759,0.410007,-0.373229,0.832222,-0.910786,-0.216171,0.351765,-0.928391,0.284567,-0.945965,0.155471,-0.910786,-0.216171,0.351765
0.232284,0.474565,-2.29114,2.40977,11.4081,0.290339,-0.756687,0.585771,-0.95519,-0.266005,0.129823,0.928391,0.127845,0.0248153,0.991484,-0.95519,-0.266005,0.129823
0.419621,-0.0878695,-2.0008,1.65308,11.9939,0.182898,-0.0429999,0.982191,-0.763557,-0.635533,0.114362,-0.928391,0.605423,-0.642969,0.469099,-0.763557,-0.635533,0.114362
-0.213984,-0.380476,-1.81791,1.61008,12.9761,0.583418,-0.802215,0.126782,-0.793836,-0.530274,0.297714,0.928391,0.486933,-0.260976,0.833539,-0.793836,-0.530274,0.297714
0.177658,-0.208942,-1.23449,0.807866,13.1029,0.57982,-0.40055,0.709485,-0.716959,-0.664484,0.210784,-0.928391,0.657247,-0.745104,-0.113341,-0.716959,-0.664484,0.210784
